user_id,login,name,location,total_repos,total_stars_received,total_forks_received,avg_stars_per_repo,account_age_days,repos_per_year,followers,following,follower_ratio,h_index,impact_score,primary_languages,primary_language_1,primary_language_2,primary_language_3,language_diversity,industries_served,primary_industry,has_readme_pct,has_license_pct,total_open_issues,days_since_last_push,is_active,contribution_consistency
131488004,mabelolivera10,MABEL QUISPE OLIVERA,"LIMA, PERU",50,588,180,11.76,1058,17.24952741020794,1196,0,1196.0,11,2144,"['CSS', 'JavaScript', 'HTML']",CSS,JavaScript,HTML,3,2,J,1.0,0.0,6,130,False,0.9166666666666666
8503732,devaige,Aige,"Pampa de Vaca, Torata, Mariscal Nieto  Moquegua 18100, Peru",6,5508,1236,918.0,4225,0.5183431952662723,1178,1,1178.0,3,9158,"['Kotlin', 'Java', 'Swift']",Kotlin,Java,Swift,4,1,J,0.8333333333333334,0.5,67,3,True,0.5
2745567,mriscoc,Miguel Risco-Castillo,"Lima, Peru",22,3528,561,160.36363636363637,4875,1.6471794871794871,1110,2,555.0,8,5760,"['Pascal', 'C++', 'C']",Pascal,C++,C,10,4,J,0.8181818181818182,0.5909090909090909,22,2,True,1.0
44477388,apholdings,SoloPython,"Lima, Peru",49,489,165,9.979591836734693,2697,6.631442343344457,674,0,674.0,11,1493,"['Python', 'JavaScript', 'TypeScript']",Python,JavaScript,TypeScript,6,4,J,0.3673469387755102,0.12244897959183673,24,0,True,1.0
864790,joelibaceta,Joel Ibaceta,"Lima, Peru",32,2117,200,66.15625,5380,2.171003717472119,657,1150,0.571304347826087,4,3174,"['Python', 'Jupyter Notebook', 'JavaScript']",Python,Jupyter Notebook,JavaScript,8,5,J,0.5625,0.28125,37,0,True,1.0
102183275,CodigoEstudiante,Codigo Estudiante,Peru,47,306,162,6.51063829787234,1453,11.806607019958706,614,1,614.0,9,1244,"['C#', 'JavaScript', 'HTML']",C#,JavaScript,HTML,6,10,J,0.10638297872340426,0.7659574468085106,2,247,False,0.9166666666666666
24356603,goandreus,Andres Chavez,Lima - Peru,48,69,8,1.4375,3389,5.1696665683092355,555,1338,0.4147982062780269,4,640,"['Dart', 'JavaScript', 'TypeScript']",Dart,JavaScript,TypeScript,12,4,J,0.9583333333333334,0.020833333333333332,75,107,False,1.0
16768318,csaybar,Cesar Aybar,"Lima, Peru",25,552,236,22.08,3708,2.460895361380798,555,67,8.283582089552239,8,1579,"['R', 'Jupyter Notebook', 'Python']",R,Jupyter Notebook,Python,5,5,M,0.8,0.48,29,15,True,1.0
300238,emedinaa,Eduardo José Medina Alfaro,"Lima, Peru",41,717,160,17.48780487804878,5758,2.598992705800625,506,761,0.6649145860709592,8,1543,"['Kotlin', 'Java', 'Python']",Kotlin,Java,Python,3,5,J,0.975609756097561,0.2926829268292683,6,362,False,1.0
61527316,dcajasn,Riskfolio,"Lima, Peru",5,3831,613,766.2,2208,0.8265398550724637,503,0,503.0,3,5560,"['Jupyter Notebook', 'C++']",Jupyter Notebook,C++,,2,2,K,0.8,0.2,0,7,True,0.3333333333333333
64455345,Franklin369,codigo369.com,Peru,50,351,199,7.02,2147,8.500232883092687,439,0,439.0,8,1188,"['JavaScript', 'CSS', 'SCSS']",JavaScript,CSS,SCSS,7,6,J,0.62,0.0,2,712,False,1.0
21283014,carlosal1015,Oromion,"Lima, Peru",25,175,62,7.0,3486,2.617613310384395,423,9716,0.043536434746809384,2,722,"['TeX', 'Jupyter Notebook', 'C++']",TeX,Jupyter Notebook,C++,7,3,J,0.8,0.76,14,3,True,1.0
100613002,BracoZS,BracoZS,Peru,11,29,4,2.6363636363636362,1475,2.722033898305085,354,343,1.032069970845481,3,391,"['C#', 'Astro', 'HTML']",C#,Astro,HTML,5,2,J,0.9090909090909091,0.8181818181818182,0,3,True,0.8333333333333334
89204234,gustarting,Gustavo Mamani,"Arequipa, Peru",4,13,0,3.25,1669,0.8747753145596164,352,424,0.8301886792452831,3,365,"['HTML', 'JavaScript']",HTML,JavaScript,,2,2,J,1.0,0.0,0,275,False,0.3333333333333333
138739751,marco-soria,Marco Antonio,"Huancayo, Peru",50,7,0,0.14,983,18.56561546286877,350,319,1.09717868338558,2,357,"['TypeScript', 'C#', 'HTML']",TypeScript,C#,HTML,4,6,J,0.8,0.0,0,21,True,0.75
174745552,gianbdev,Giancarlo Silva,Peru,33,35,1,1.0606060606060606,618,19.490291262135923,345,452,0.7632743362831859,2,382,"['PHP', 'TypeScript', 'Java']",PHP,TypeScript,Java,13,4,J,0.6666666666666666,0.06060606060606061,4,3,True,1.0
833664,luismayta,Lucho Mayta,"Lima, Peru",56,273,18,4.875,5395,3.788693234476367,336,1180,0.2847457627118644,8,645,"['Makefile', 'Shell', 'JavaScript']",Makefile,Shell,JavaScript,15,5,J,0.9464285714285714,0.9285714285714286,502,0,True,0.75
69984125,JkDevArg,JkDev,Argentina/Peru,21,62,4,2.9523809523809526,2032,3.7721456692913384,319,244,1.3073770491803278,4,389,"['Python', 'PHP', 'JavaScript']",Python,PHP,JavaScript,7,6,J,0.9523809523809523,0.047619047619047616,22,59,True,1.0
133463267,jorgemunozl,Jorge Munoz Lar,"Lima, Peru",17,124,6,7.294117647058823,1037,5.983606557377049,312,1027,0.3037974683544304,7,448,"['Python', 'Jupyter Notebook', 'Shell']",Python,Jupyter Notebook,Shell,6,4,M,0.8235294117647058,0.23529411764705882,41,1,True,0.5833333333333334
3131952,gcoronelc,Eric Gustavo Coronel Castillo,PERU,25,143,105,5.72,4826,1.8907998342312473,310,0,310.0,5,663,"['Java', 'TSQL', 'Jupyter Notebook']",Java,TSQL,Jupyter Notebook,6,2,P,0.96,0.0,0,108,False,1.0
20407819,Anders87x,AnderCode,Peru,36,215,175,5.972222222222222,3533,3.7192187942258705,296,8,37.0,7,861,"['HTML', 'JavaScript', 'PHP']",HTML,JavaScript,PHP,8,6,J,1.0,0.0,198,488,False,1.0
9284690,ivandevp,Ivan Medina,"Borned in Lima, Peru",28,43,44,1.5357142857142858,4167,2.4526037916966645,262,87,3.0114942528735633,3,393,"['JavaScript', 'HTML', 'PHP']",JavaScript,HTML,PHP,3,4,J,0.8214285714285714,0.2857142857142857,332,1162,False,0.75
23284899,ambarja,Antony Barja ,"Lima, Peru",21,114,22,5.428571428571429,3416,2.2438524590163933,257,464,0.5538793103448276,6,415,"['R', 'HTML', 'JavaScript']",R,HTML,JavaScript,6,6,M,0.9523809523809523,0.38095238095238093,5,3,True,1.0
51397083,Railly,Railly Hugo,"Lima, Peru",18,1422,87,79.0,2475,2.6545454545454543,240,42,5.714285714285714,7,1836,"['TypeScript', 'Astro', 'Python']",TypeScript,Astro,Python,6,4,J,1.0,0.3888888888888889,40,1,True,1.0
