repo_id,repo_name,repo_full_name,industry_code,industry_name,confidence,reasoning
403020531,colima,abiosoft/colima,J,Information and communication,high,"Colima is a container runtime management tool designed for macOS and Linux that facilitates containerized application development and deployment. It serves as a DevOps and infrastructure utility primarily used in software development, IT operations, and cloud-native computing environments, which fall under the Information and communication industry category."
602943934,orbstack,orbstack/orbstack,J,Information and communication,high,"OrbStack is a developer tool designed to run Docker containers and Linux virtual machines efficiently, serving primarily software development and IT operations. It is a general-purpose infrastructure and container management tool, which fits best under Information and communication as it supports software development, deployment, and related communication technologies."
244460835,Riskfolio-Lib,dcajasn/Riskfolio-Lib,K,Financial and insurance activities,high,"The repository is focused on portfolio optimization, quantitative asset allocation, and risk management in finance, which are core activities in the financial and insurance sector. The topics and description clearly indicate its application in investment analysis and portfolio management, making it highly relevant to the financial industry."
450854006,Ender3V2S1,mriscoc/Ender3V2S1,C,Manufacturing,high,"The repository provides optimized firmware for Ender 3 V2/S1 3D printers, which are manufacturing equipment used for additive manufacturing processes. Firmware directly controls the hardware of 3D printers, a manufacturing technology, making the manufacturing industry the most appropriate classification."
47186418,WheelPicker,devaige/WheelPicker,J,Information and communication,high,"The repository is an Android UI component library providing a wheel picker view with realistic effects. It is a general-purpose software tool intended for mobile app development, which fits squarely within the Information and communication industry category. There is no indication of domain-specific application, so classification as a general software development tool under Information and communication is appropriate."
32990107,DatePicker,devaige/DatePicker,J,Information and communication,high,"The repository is an Android date picker UI component, a software utility primarily used in mobile app development. It serves as a general-purpose tool for date selection in apps, which falls under software and information technology services. There is no indication of domain-specific application in other industries, so it is best classified under Information and communication."
159064082,video-to-ascii,joelibaceta/video-to-ascii,R,"Arts, entertainment and recreation",high,"The repository is a Python package that plays videos in the terminal using ASCII characters, which is a form of ASCII art and creative video display. This aligns closely with arts and entertainment applications, as it transforms video media into a unique artistic format for recreational or creative purposes."
35923428,MultiThreadDownloader,devaige/MultiThreadDownloader,J,Information and communication,high,"The repository is a software library for Android that provides multi-threaded downloading capabilities. It is a general-purpose tool useful in software development, particularly in mobile app development and network communication. It does not target any specific vertical industry but rather supports information processing and communication tasks, fitting well within the Information and communication category."
703854926,tinte,Railly/tinte,J,Information and communication,high,"The repository 'tinte' is a design system infrastructure tool focused on generating, compiling, and previewing design systems and themes for software development environments such as VS Code, terminals, and UI frameworks. It serves developers and designers primarily in software and digital product creation, which aligns with the Information and communication industry category."
181977788,kotlin-mvvm,emedinaa/kotlin-mvvm,J,Information and communication,high,"The repository is a Kotlin MVVM architectural pattern sample for Android development, demonstrating use of ViewModel, LiveData, Retrofit, and other libraries. It is a general-purpose software architecture example for mobile app development, not specific to any particular industry domain. Therefore, it best fits under Information and communication as a software development resource."
